uuid,timestamp,event,dia_min,dia_max,temp_avg,check
1020,2022-03-03 13:09:17,Produce Workpiece,,,,
1020,2022-03-03 15:09:17,Measure Workpiece,2.92,4.63,,
1020,2022-03-03 17:09:17,Put Workpiece in OK Pile,,,,OK
1021,2022-03-15 11:52:34,Produce Workpiece,,,,
1021,2022-03-15 13:52:34,Measure Workpiece,2.93,4.68,,
1021,2022-03-15 15:52:34,Put Workpiece in OK Pile,,,,OK
1022,2022-03-14 10:59:33,Produce Workpiece,,,,
1022,2022-03-14 12:59:33,Measure Workpiece,2.6,4.46,,
1022,2022-03-14 14:59:33,Put Workpiece in OK Pile,,,,OK
1023,2022-03-14 13:12:59,Produce Workpiece,,,,
1023,2022-03-14 15:12:59,Measure Workpiece,3.0,4.93,,
1023,2022-03-14 17:12:59,Put Workpiece in Scrap Pile,,,,NOK
1024,2022-03-09 10:41:44,Produce Workpiece,,,,
1024,2022-03-09 12:41:44,Measure Workpiece,2.53,4.23,,
1024,2022-03-09 14:41:44,Put Workpiece in OK Pile,,,,OK
1025,2022-03-06 12:11:56,Produce Workpiece,,,,
1025,2022-03-06 14:11:56,Measure Workpiece,2.21,4.37,,
1025,2022-03-06 16:11:56,Put Workpiece in OK Pile,,,,OK
1026,2022-03-09 08:11:14,Produce Workpiece,,,,
1026,2022-03-09 10:11:14,Measure Workpiece,2.27,4.34,,
1026,2022-03-09 12:11:14,Put Workpiece in OK Pile,,,,OK
1027,2022-03-03 16:16:42,Produce Workpiece,,,,
1027,2022-03-03 18:16:42,Measure Workpiece,2.21,4.85,,
1027,2022-03-03 20:16:42,Put Workpiece in OK Pile,,,,OK
1028,2022-03-05 12:34:05,Produce Workpiece,,,,
1028,2022-03-05 14:34:05,Measure Workpiece,2.09,4.24,,
1028,2022-03-05 16:34:05,Put Workpiece in Scrap Pile,,,,NOK
1029,2022-03-15 08:03:30,Produce Workpiece,,,,
1029,2022-03-15 10:03:30,Measure Workpiece,2.76,4.54,,
1029,2022-03-15 12:03:30,Put Workpiece in OK Pile,,,,OK
1030,2022-03-07 10:34:02,Produce Workpiece,,,,
1030,2022-03-07 12:34:02,Measure Workpiece,2.91,4.24,,
1030,2022-03-07 14:34:02,Put Workpiece in OK Pile,,,,OK
1031,2022-03-02 17:58:38,Produce Workpiece,,,,
1031,2022-03-02 19:58:38,Measure Workpiece,2.94,4.4,,
1031,2022-03-02 21:58:38,Put Workpiece in OK Pile,,,,OK
1032,2022-03-03 17:16:50,Produce Workpiece,,,,
1032,2022-03-03 19:16:50,Measure Workpiece,2.38,4.03,,
1032,2022-03-03 21:16:50,Put Workpiece in OK Pile,,,,OK
1033,2022-03-07 17:38:43,Produce Workpiece,,,,
1033,2022-03-07 19:38:43,Measure Workpiece,2.75,4.26,,
1033,2022-03-07 21:38:43,Put Workpiece in OK Pile,,,,OK
1034,2022-03-18 11:20:40,Produce Workpiece,,,,
1034,2022-03-18 13:20:40,Measure Workpiece,2.97,5.0,,
1034,2022-03-18 15:20:40,Put Workpiece in Scrap Pile,,,,NOK
1035,2022-03-01 08:39:21,Produce Workpiece,,,,
1035,2022-03-01 10:39:21,Measure Workpiece,2.09,4.88,,
1035,2022-03-01 12:39:21,Put Workpiece in Scrap Pile,,,,NOK
1036,2022-03-14 11:36:16,Produce Workpiece,,,,
1036,2022-03-14 13:36:16,Measure Workpiece,2.99,4.6,,
1036,2022-03-14 15:36:16,Put Workpiece in OK Pile,,,,OK
1037,2022-03-12 14:00:25,Produce Workpiece,,,,
1037,2022-03-12 16:00:25,Measure Workpiece,2.57,4.67,,
1037,2022-03-12 18:00:25,Put Workpiece in OK Pile,,,,OK
1038,2022-03-08 17:28:26,Produce Workpiece,,,,
1038,2022-03-08 19:28:26,Measure Workpiece,2.53,4.4,,
1038,2022-03-08 21:28:26,Put Workpiece in OK Pile,,,,OK
1039,2022-03-15 17:56:50,Produce Workpiece,,,,
1039,2022-03-15 19:56:50,Measure Workpiece,2.71,4.98,,
1039,2022-03-15 21:56:50,Put Workpiece in Scrap Pile,,,,NOK
1040,2022-03-03 08:54:26,Produce Workpiece,,,,
1040,2022-03-03 10:54:26,Measure Workpiece,2.11,4.34,,
1040,2022-03-03 12:54:26,Put Workpiece in Scrap Pile,,,,NOK
1041,2022-03-17 09:26:43,Produce Workpiece,,,,
1041,2022-03-17 11:26:43,Measure Workpiece,2.47,4.09,,
1041,2022-03-17 13:26:43,Put Workpiece in OK Pile,,,,OK
1042,2022-03-13 16:36:58,Produce Workpiece,,,,
1042,2022-03-13 18:36:58,Measure Workpiece,2.55,4.82,,
1042,2022-03-13 20:36:58,Put Workpiece in OK Pile,,,,OK
1043,2022-03-08 17:13:57,Produce Workpiece,,,,
1043,2022-03-08 19:13:57,Measure Workpiece,2.99,4.38,,
1043,2022-03-08 21:13:57,Put Workpiece in OK Pile,,,,OK
1044,2022-03-09 17:40:24,Produce Workpiece,,,,
1044,2022-03-09 19:40:24,Measure Workpiece,2.93,4.4,,
1044,2022-03-09 21:40:24,Put Workpiece in Scrap Pile,,,,NOK
1045,2022-03-18 09:13:43,Produce Workpiece,,,,
1045,2022-03-18 11:13:43,Measure Workpiece,2.28,4.7,,
1045,2022-03-18 13:13:43,Put Workpiece in OK Pile,,,,OK
1046,2022-03-08 18:24:52,Produce Workpiece,,,,
1046,2022-03-08 20:24:52,Measure Workpiece,2.05,4.18,,
1046,2022-03-08 22:24:52,Put Workpiece in Scrap Pile,,,,NOK
1047,2022-03-03 16:25:00,Produce Workpiece,,,,
1047,2022-03-03 18:25:00,Measure Workpiece,2.8,4.12,,
1047,2022-03-03 20:25:00,Put Workpiece in OK Pile,,,,OK
1048,2022-03-19 08:56:55,Produce Workpiece,,,,
1048,2022-03-19 10:56:55,Measure Workpiece,2.72,4.12,,
1048,2022-03-19 12:56:55,Put Workpiece in OK Pile,,,,OK
1049,2022-03-03 12:27:39,Produce Workpiece,,,,
1049,2022-03-03 14:27:39,Measure Workpiece,2.33,4.82,,
1049,2022-03-03 16:27:39,Put Workpiece in OK Pile,,,,OK
1050,2022-03-10 12:02:44,Produce Workpiece,,,,
1050,2022-03-10 14:02:44,Measure Workpiece,2.51,4.88,,
1050,2022-03-10 16:02:44,Put Workpiece in OK Pile,,,,OK
1051,2022-03-18 14:56:38,Produce Workpiece,,,,
1051,2022-03-18 16:56:38,Measure Workpiece,2.72,4.79,,
1051,2022-03-18 18:56:38,Put Workpiece in OK Pile,,,,OK
1052,2022-03-07 08:09:09,Produce Workpiece,,,,
1052,2022-03-07 10:09:09,Measure Workpiece,2.24,4.37,,
1052,2022-03-07 12:09:09,Put Workpiece in OK Pile,,,,OK
1053,2022-03-13 09:01:30,Produce Workpiece,,,,
1053,2022-03-13 11:01:30,Measure Workpiece,2.7,4.14,,
1053,2022-03-13 13:01:30,Put Workpiece in OK Pile,,,,OK
1054,2022-03-11 14:18:42,Produce Workpiece,,,,
1054,2022-03-11 16:18:42,Measure Workpiece,2.14,4.57,,
1054,2022-03-11 18:18:42,Put Workpiece in OK Pile,,,,OK
1055,2022-03-16 09:31:03,Produce Workpiece,,,,
1055,2022-03-16 11:31:03,Measure Workpiece,2.34,4.21,,
1055,2022-03-16 13:31:03,Put Workpiece in OK Pile,,,,OK
1056,2022-03-10 08:12:39,Produce Workpiece,,,,
1056,2022-03-10 10:12:39,Measure Workpiece,2.51,4.33,,
1056,2022-03-10 12:12:39,Put Workpiece in OK Pile,,,,OK
1057,2022-03-14 08:22:55,Produce Workpiece,,,,
1057,2022-03-14 10:22:55,Measure Workpiece,2.58,4.64,,
1057,2022-03-14 12:22:55,Put Workpiece in Scrap Pile,,,,NOK
1058,2022-03-05 11:44:19,Produce Workpiece,,,,
1058,2022-03-05 13:44:19,Measure Workpiece,2.07,4.04,,
1058,2022-03-05 15:44:19,Put Workpiece in Scrap Pile,,,,NOK
1059,2022-03-03 16:56:56,Produce Workpiece,,,,
1059,2022-03-03 18:56:56,Measure Workpiece,2.71,4.75,,
1059,2022-03-03 20:56:56,Put Workpiece in OK Pile,,,,OK
1060,2022-03-17 10:51:29,Produce Workpiece,,,,
1060,2022-03-17 12:51:29,Measure Workpiece,2.46,4.57,,
1060,2022-03-17 14:51:29,Put Workpiece in OK Pile,,,,OK
1061,2022-03-07 18:49:54,Produce Workpiece,,,,
1061,2022-03-07 20:49:54,Measure Workpiece,2.37,4.56,,
1061,2022-03-07 22:49:54,Put Workpiece in OK Pile,,,,OK
1062,2022-03-11 16:54:21,Produce Workpiece,,,,
1062,2022-03-11 18:54:21,Measure Workpiece,2.19,4.23,,
1062,2022-03-11 20:54:21,Put Workpiece in OK Pile,,,,OK
1063,2022-03-01 15:18:43,Produce Workpiece,,,,
1063,2022-03-01 17:18:43,Measure Workpiece,2.61,4.94,,
1063,2022-03-01 19:18:43,Put Workpiece in Scrap Pile,,,,NOK
1064,2022-03-09 12:02:16,Produce Workpiece,,,,
1064,2022-03-09 14:02:16,Measure Workpiece,2.54,4.61,,
1064,2022-03-09 16:02:16,Put Workpiece in OK Pile,,,,OK
1065,2022-03-04 14:35:34,Produce Workpiece,,,,
1065,2022-03-04 16:35:34,Measure Workpiece,2.04,4.36,,
1065,2022-03-04 18:35:34,Put Workpiece in Scrap Pile,,,,NOK
1066,2022-03-06 18:55:04,Produce Workpiece,,,,
1066,2022-03-06 20:55:04,Measure Workpiece,2.67,4.96,,
1066,2022-03-06 22:55:04,Put Workpiece in Scrap Pile,,,,NOK
1067,2022-03-06 12:40:04,Produce Workpiece,,,,
1067,2022-03-06 14:40:04,Measure Workpiece,2.55,4.09,,
1067,2022-03-06 16:40:04,Put Workpiece in OK Pile,,,,OK
1068,2022-03-10 14:44:42,Produce Workpiece,,,,
1068,2022-03-10 16:44:42,Measure Workpiece,2.31,4.05,,
1068,2022-03-10 18:44:42,Put Workpiece in OK Pile,,,,OK
1069,2022-03-12 14:44:13,Produce Workpiece,,,,
1069,2022-03-12 16:44:13,Measure Workpiece,2.16,4.79,,
1069,2022-03-12 18:44:13,Put Workpiece in OK Pile,,,,OK
1070,2022-03-17 11:02:29,Produce Workpiece,,,,
1070,2022-03-17 13:02:29,Measure Workpiece,2.42,4.35,,
1070,2022-03-17 15:02:29,Put Workpiece in OK Pile,,,,OK
1071,2022-03-09 12:14:05,Produce Workpiece,,,,
1071,2022-03-09 14:14:05,Measure Workpiece,2.87,4.1,,
1071,2022-03-09 16:14:05,Put Workpiece in OK Pile,,,,OK
1072,2022-03-05 18:45:57,Produce Workpiece,,,,
1072,2022-03-05 20:45:57,Measure Workpiece,2.02,4.66,,
1072,2022-03-05 22:45:57,Put Workpiece in Scrap Pile,,,,NOK
1073,2022-03-03 13:05:13,Produce Workpiece,,,,
1073,2022-03-03 15:05:13,Measure Workpiece,2.89,4.31,,
1073,2022-03-03 17:05:13,Put Workpiece in OK Pile,,,,OK
1074,2022-03-08 11:47:01,Produce Workpiece,,,,
1074,2022-03-08 13:47:01,Measure Workpiece,2.92,4.05,,
1074,2022-03-08 15:47:01,Put Workpiece in Scrap Pile,,,,NOK
1075,2022-03-12 17:10:01,Produce Workpiece,,,,
1075,2022-03-12 19:10:01,Measure Workpiece,2.23,4.08,,
1075,2022-03-12 21:10:01,Put Workpiece in OK Pile,,,,OK
1076,2022-03-11 18:27:19,Produce Workpiece,,,,
1076,2022-03-11 20:27:19,Measure Workpiece,2.79,4.55,,
1076,2022-03-11 22:27:19,Put Workpiece in OK Pile,,,,OK
1077,2022-03-06 11:41:22,Produce Workpiece,,,,
1077,2022-03-06 13:41:22,Measure Workpiece,2.09,4.53,,
1077,2022-03-06 15:41:22,Put Workpiece in Scrap Pile,,,,NOK
1078,2022-03-07 09:53:33,Produce Workpiece,,,,
1078,2022-03-07 11:53:33,Measure Workpiece,2.82,4.03,,
1078,2022-03-07 13:53:33,Put Workpiece in OK Pile,,,,OK
1079,2022-03-14 14:38:19,Produce Workpiece,,,,
1079,2022-03-14 16:38:19,Measure Workpiece,2.57,4.44,,
1079,2022-03-14 18:38:19,Put Workpiece in Scrap Pile,,,,NOK
1080,2022-03-10 13:38:27,Produce Workpiece,,,,
1080,2022-03-10 15:38:27,Measure Workpiece,2.1,4.64,,
1080,2022-03-10 17:38:27,Put Workpiece in Scrap Pile,,,,NOK
1081,2022-03-14 18:41:32,Produce Workpiece,,,,
1081,2022-03-14 20:41:32,Measure Workpiece,2.93,4.82,,
1081,2022-03-14 22:41:32,Put Workpiece in OK Pile,,,,OK
1082,2022-03-03 13:26:48,Produce Workpiece,,,,
1082,2022-03-03 15:26:48,Measure Workpiece,2.28,4.04,,
1082,2022-03-03 17:26:48,Put Workpiece in OK Pile,,,,OK
1083,2022-03-07 10:58:17,Produce Workpiece,,,,
1083,2022-03-07 12:58:17,Measure Workpiece,2.42,4.17,,
1083,2022-03-07 14:58:17,Put Workpiece in OK Pile,,,,OK
1084,2022-03-02 08:37:49,Produce Workpiece,,,,
1084,2022-03-02 10:37:49,Measure Workpiece,2.1,4.04,,
1084,2022-03-02 12:37:49,Put Workpiece in Scrap Pile,,,,NOK
1085,2022-03-15 08:49:53,Produce Workpiece,,,,
1085,2022-03-15 10:49:53,Measure Workpiece,2.29,4.21,,
1085,2022-03-15 12:49:53,Put Workpiece in OK Pile,,,,OK
1086,2022-03-08 17:34:20,Produce Workpiece,,,,
1086,2022-03-08 19:34:20,Measure Workpiece,2.53,4.86,,
1086,2022-03-08 21:34:20,Put Workpiece in OK Pile,,,,OK
1087,2022-03-03 10:40:37,Produce Workpiece,,,,
1087,2022-03-03 12:40:37,Measure Workpiece,2.83,4.96,,
1087,2022-03-03 14:40:37,Put Workpiece in Scrap Pile,,,,NOK
1088,2022-03-13 18:55:27,Produce Workpiece,,,,
1088,2022-03-13 20:55:27,Measure Workpiece,2.82,4.33,,
1088,2022-03-13 22:55:27,Put Workpiece in OK Pile,,,,OK
1089,2022-03-02 18:36:38,Produce Workpiece,,,,
1089,2022-03-02 20:36:38,Measure Workpiece,2.15,4.63,,
1089,2022-03-02 22:36:38,Put Workpiece in OK Pile,,,,OK
1090,2022-03-04 12:35:43,Produce Workpiece,,,,
1090,2022-03-04 14:35:43,Measure Workpiece,2.18,4.16,,
1090,2022-03-04 16:35:43,Put Workpiece in OK Pile,,,,OK
1091,2022-03-18 15:23:09,Produce Workpiece,,,,
1091,2022-03-18 17:23:09,Measure Workpiece,2.42,4.01,,
1091,2022-03-18 19:23:09,Put Workpiece in Scrap Pile,,,,NOK
1092,2022-03-10 11:08:09,Produce Workpiece,,,,
1092,2022-03-10 13:08:09,Measure Workpiece,2.96,4.49,,
1092,2022-03-10 15:08:09,Put Workpiece in OK Pile,,,,OK
1093,2022-03-19 15:47:53,Produce Workpiece,,,,
1093,2022-03-19 17:47:53,Measure Workpiece,2.1,4.04,,
1093,2022-03-19 19:47:53,Put Workpiece in Scrap Pile,,,,NOK
1094,2022-03-01 10:59:38,Produce Workpiece,,,,
1094,2022-03-01 12:59:38,Measure Workpiece,2.31,4.24,,
1094,2022-03-01 14:59:38,Put Workpiece in OK Pile,,,,OK
1095,2022-03-17 15:22:20,Produce Workpiece,,,,
1095,2022-03-17 17:22:20,Measure Workpiece,2.73,4.49,,
1095,2022-03-17 19:22:20,Put Workpiece in OK Pile,,,,OK
1096,2022-03-13 09:12:48,Produce Workpiece,,,,
1096,2022-03-13 11:12:48,Measure Workpiece,2.8,4.9,,
1096,2022-03-13 13:12:48,Put Workpiece in Scrap Pile,,,,NOK
1097,2022-03-13 12:39:03,Produce Workpiece,,,,
1097,2022-03-13 14:39:03,Measure Workpiece,2.12,4.14,,
1097,2022-03-13 16:39:03,Put Workpiece in OK Pile,,,,OK
1098,2022-03-02 13:18:13,Produce Workpiece,,,,
1098,2022-03-02 15:18:13,Measure Workpiece,2.82,4.36,,
1098,2022-03-02 17:18:13,Put Workpiece in OK Pile,,,,OK
1099,2022-03-09 12:44:01,Produce Workpiece,,,,
1099,2022-03-09 14:44:01,Measure Workpiece,2.61,4.81,,
1099,2022-03-09 16:44:01,Put Workpiece in OK Pile,,,,OK
1100,2022-03-16 15:30:52,Produce Workpiece,,,,
1100,2022-03-16 17:30:52,Measure Workpiece,2.74,4.78,,
1100,2022-03-16 19:30:52,Put Workpiece in OK Pile,,,,OK
1101,2022-03-01 08:10:32,Produce Workpiece,,,,
1101,2022-03-01 10:10:32,Measure Workpiece,2.95,4.75,,
1101,2022-03-01 12:10:32,Put Workpiece in OK Pile,,,,OK
1102,2022-03-09 15:27:25,Produce Workpiece,,,,
1102,2022-03-09 17:27:25,Measure Workpiece,2.01,4.79,,
1102,2022-03-09 19:27:25,Put Workpiece in Scrap Pile,,,,NOK
1103,2022-03-05 12:23:16,Produce Workpiece,,,,
1103,2022-03-05 14:23:16,Measure Workpiece,2.97,4.71,,
1103,2022-03-05 16:23:16,Put Workpiece in OK Pile,,,,OK
1104,2022-03-19 16:47:39,Produce Workpiece,,,,
1104,2022-03-19 18:47:39,Measure Workpiece,2.61,4.67,,
1104,2022-03-19 20:47:39,Put Workpiece in OK Pile,,,,OK
1105,2022-03-19 10:38:26,Produce Workpiece,,,,
1105,2022-03-19 12:38:26,Measure Workpiece,2.71,4.32,,
1105,2022-03-19 14:38:26,Put Workpiece in OK Pile,,,,OK
1106,2022-03-11 15:25:32,Produce Workpiece,,,,
1106,2022-03-11 17:25:32,Measure Workpiece,2.74,4.94,,
1106,2022-03-11 19:25:32,Put Workpiece in Scrap Pile,,,,NOK
1107,2022-03-10 09:50:16,Produce Workpiece,,,,
1107,2022-03-10 11:50:16,Measure Workpiece,2.44,5.0,,
1107,2022-03-10 13:50:16,Put Workpiece in Scrap Pile,,,,NOK
1108,2022-03-18 13:45:03,Produce Workpiece,,,,
1108,2022-03-18 15:45:03,Measure Workpiece,2.37,4.54,,
1108,2022-03-18 17:45:03,Put Workpiece in OK Pile,,,,OK
1109,2022-03-18 16:45:06,Produce Workpiece,,,,
1109,2022-03-18 18:45:06,Measure Workpiece,2.63,4.3,,
1109,2022-03-18 20:45:06,Put Workpiece in OK Pile,,,,OK
1110,2022-03-16 11:14:35,Produce Workpiece,,,,
1110,2022-03-16 13:14:35,Measure Workpiece,2.74,4.14,,
1110,2022-03-16 15:14:35,Put Workpiece in OK Pile,,,,OK
1111,2022-03-19 10:18:26,Produce Workpiece,,,,
1111,2022-03-19 12:18:26,Measure Workpiece,2.24,4.35,,
1111,2022-03-19 14:18:26,Put Workpiece in OK Pile,,,,OK
1112,2022-03-15 13:31:31,Produce Workpiece,,,,
1112,2022-03-15 15:31:31,Measure Workpiece,2.27,4.22,,
1112,2022-03-15 17:31:31,Put Workpiece in OK Pile,,,,OK
1113,2022-03-01 18:55:11,Produce Workpiece,,,,
1113,2022-03-01 20:55:11,Measure Workpiece,2.49,4.22,,
1113,2022-03-01 22:55:11,Put Workpiece in Scrap Pile,,,,NOK
1114,2022-03-05 18:33:14,Produce Workpiece,,,,
1114,2022-03-05 20:33:14,Measure Workpiece,2.52,4.02,,
1114,2022-03-05 22:33:14,Put Workpiece in OK Pile,,,,OK
1115,2022-03-16 15:33:26,Produce Workpiece,,,,
1115,2022-03-16 17:33:26,Measure Workpiece,2.39,4.4,,
1115,2022-03-16 19:33:26,Put Workpiece in OK Pile,,,,OK
1116,2022-03-03 14:34:07,Produce Workpiece,,,,
1116,2022-03-03 16:34:07,Measure Workpiece,2.44,4.78,,
1116,2022-03-03 18:34:07,Put Workpiece in OK Pile,,,,OK
1117,2022-03-18 15:40:09,Produce Workpiece,,,,
1117,2022-03-18 17:40:09,Measure Workpiece,2.77,4.09,,
1117,2022-03-18 19:40:09,Put Workpiece in OK Pile,,,,OK
1118,2022-03-11 13:42:16,Produce Workpiece,,,,
1118,2022-03-11 15:42:16,Measure Workpiece,2.95,4.09,,
1118,2022-03-11 17:42:16,Put Workpiece in OK Pile,,,,OK
1119,2022-03-07 11:28:25,Produce Workpiece,,,,
1119,2022-03-07 13:28:25,Measure Workpiece,2.27,4.83,,
1119,2022-03-07 15:28:25,Put Workpiece in OK Pile,,,,OK
1120,2022-03-02 17:28:04,Produce Workpiece,,,,
1120,2022-03-02 19:28:04,Measure Workpiece,2.02,4.9,,
1120,2022-03-02 21:28:04,Put Workpiece in Scrap Pile,,,,NOK
1121,2022-03-17 13:17:59,Produce Workpiece,,,,
1121,2022-03-17 15:17:59,Measure Workpiece,2.43,4.93,,
1121,2022-03-17 17:17:59,Put Workpiece in Scrap Pile,,,,NOK
1122,2022-03-10 11:28:32,Produce Workpiece,,,,
1122,2022-03-10 13:28:32,Measure Workpiece,2.68,4.93,,
1122,2022-03-10 15:28:32,Put Workpiece in Scrap Pile,,,,NOK
1123,2022-03-02 17:18:11,Produce Workpiece,,,,
1123,2022-03-02 19:18:11,Measure Workpiece,2.35,4.86,,
1123,2022-03-02 21:18:11,Put Workpiece in OK Pile,,,,OK
1124,2022-03-16 10:00:44,Produce Workpiece,,,,
1124,2022-03-16 12:00:44,Measure Workpiece,2.81,4.51,,
1124,2022-03-16 14:00:44,Put Workpiece in Scrap Pile,,,,NOK
1125,2022-03-16 15:17:41,Produce Workpiece,,,,
1125,2022-03-16 17:17:41,Measure Workpiece,2.85,4.85,,
1125,2022-03-16 19:17:41,Put Workpiece in OK Pile,,,,OK
1126,2022-03-08 09:35:50,Produce Workpiece,,,,
1126,2022-03-08 11:35:50,Measure Workpiece,2.19,4.38,,
1126,2022-03-08 13:35:50,Put Workpiece in OK Pile,,,,OK
1127,2022-03-16 18:11:26,Produce Workpiece,,,,
1127,2022-03-16 20:11:26,Measure Workpiece,2.23,4.68,,
1127,2022-03-16 22:11:26,Put Workpiece in OK Pile,,,,OK
1128,2022-03-02 09:14:51,Produce Workpiece,,,,
1128,2022-03-02 11:14:51,Measure Workpiece,2.44,4.92,,
1128,2022-03-02 13:14:51,Put Workpiece in Scrap Pile,,,,NOK
1129,2022-03-09 11:41:16,Produce Workpiece,,,,
1129,2022-03-09 13:41:16,Measure Workpiece,2.53,4.94,,
1129,2022-03-09 15:41:16,Put Workpiece in Scrap Pile,,,,NOK
1130,2022-03-20 12:24:54,Produce Workpiece,,,,
1130,2022-03-20 14:24:54,Measure Workpiece,2.19,4.84,,
1130,2022-03-20 16:24:54,Put Workpiece in OK Pile,,,,OK
1131,2022-03-10 15:41:09,Produce Workpiece,,,,
1131,2022-03-10 17:41:09,Measure Workpiece,2.77,4.49,,
1131,2022-03-10 19:41:09,Put Workpiece in OK Pile,,,,OK
1132,2022-03-08 12:51:51,Produce Workpiece,,,,
1132,2022-03-08 14:51:51,Measure Workpiece,2.17,4.63,,
1132,2022-03-08 16:51:51,Put Workpiece in OK Pile,,,,OK
1133,2022-03-17 18:43:55,Produce Workpiece,,,,
1133,2022-03-17 20:43:55,Measure Workpiece,2.41,4.37,,
1133,2022-03-17 22:43:55,Put Workpiece in OK Pile,,,,OK
1134,2022-03-15 14:54:01,Produce Workpiece,,,,
1134,2022-03-15 16:54:01,Measure Workpiece,2.11,4.83,,
1134,2022-03-15 18:54:01,Put Workpiece in OK Pile,,,,OK
1135,2022-03-09 09:50:04,Produce Workpiece,,,,
1135,2022-03-09 11:50:04,Measure Workpiece,2.11,4.11,,
1135,2022-03-09 13:50:04,Put Workpiece in OK Pile,,,,OK
1136,2022-03-06 14:32:37,Produce Workpiece,,,,
1136,2022-03-06 16:32:37,Measure Workpiece,2.11,4.06,,
1136,2022-03-06 18:32:37,Put Workpiece in Scrap Pile,,,,NOK
1137,2022-03-04 10:20:39,Produce Workpiece,,,,
1137,2022-03-04 12:20:39,Measure Workpiece,2.95,4.77,,
1137,2022-03-04 14:20:39,Put Workpiece in OK Pile,,,,OK
1138,2022-03-13 14:07:05,Produce Workpiece,,,,
1138,2022-03-13 16:07:05,Measure Workpiece,2.9,4.53,,
1138,2022-03-13 18:07:05,Put Workpiece in OK Pile,,,,OK
