uuid,timestamp,event,hotel_bookings,price_category
8820555824,2022-04-13 23:07:55,Standard prices,12,standard
8820555824,2022-04-14 09:07:55,Send offer,,
9654962627,2022-04-14 19:07:55,Guest request,,
9654962627,2022-04-15 05:07:55,Standard prices,51,standard
9654962627,2022-04-15 15:07:55,Send offer,,
10264495881,2022-04-16 01:07:55,Guest request,,
10264495881,2022-04-16 11:07:55,Standard prices,64,standard
10264495881,2022-04-16 21:07:55,Send offer,,
10648462402,2022-04-17 07:07:55,Guest request,,
10648462402,2022-04-17 17:07:55,Standard prices,27,standard
10648462402,2022-04-18 03:07:55,Send offer,,
11139969005,2022-04-18 13:07:55,Guest request,,
11139969005,2022-04-18 23:07:55,Standard prices,90,standard
11139969005,2022-04-19 09:07:55,Send offer,,
11757827098,2022-04-19 19:07:55,Guest request,,
11757827098,2022-04-20 05:07:55,Standard prices,56,standard
11757827098,2022-04-20 15:07:55,Send offer,,
12523505190,2022-04-21 01:07:55,Guest request,,
12523505190,2022-04-21 11:07:55,Standard prices,42,standard
12523505190,2022-04-21 21:07:55,Send offer,,
13037696719,2022-04-22 07:07:55,Guest request,,
13037696719,2022-04-22 17:07:55,Premium prices,96,premium
13037696719,2022-04-23 03:07:55,Send offer,,
13448550801,2022-04-23 13:07:55,Guest request,,
13448550801,2022-04-23 23:07:55,Standard prices,52,standard
13448550801,2022-04-24 09:07:55,Send offer,,
13596091294,2022-04-24 19:07:55,Guest request,,
13596091294,2022-04-25 05:07:55,Standard prices,39,standard
13596091294,2022-04-25 15:07:55,Send offer,,
14162616604,2022-04-26 01:07:55,Guest request,,
14162616604,2022-04-26 11:07:55,Standard prices,33,standard
14162616604,2022-04-26 21:07:55,Send offer,,
14848176327,2022-04-27 07:07:55,Guest request,,
14848176327,2022-04-27 17:07:55,Standard prices,64,standard
14848176327,2022-04-28 03:07:55,Send offer,,
15202041062,2022-04-28 13:07:55,Guest request,,
15202041062,2022-04-28 23:07:55,Standard prices,73,standard
15202041062,2022-04-29 09:07:55,Send offer,,
15298843571,2022-04-29 19:07:55,Guest request,,
15298843571,2022-04-30 05:07:55,Standard prices,64,standard
15298843571,2022-04-30 15:07:55,Send offer,,
15410280983,2022-05-01 01:07:55,Guest request,,
15410280983,2022-05-01 11:07:55,Standard prices,88,standard
15410280983,2022-05-01 21:07:55,Send offer,,
15851457785,2022-05-02 07:07:55,Guest request,,
15851457785,2022-05-02 17:07:55,Standard prices,45,standard
15851457785,2022-05-03 03:07:55,Send offer,,
16557890724,2022-05-03 13:07:55,Guest request,,
16557890724,2022-05-03 23:07:55,Standard prices,10,standard
16557890724,2022-05-04 09:07:55,Send offer,,
16947447219,2022-05-04 19:07:55,Guest request,,
16947447219,2022-05-05 05:07:55,Standard prices,40,standard
16947447219,2022-05-05 15:07:55,Send offer,,
17072210529,2022-05-06 01:07:55,Guest request,,
17072210529,2022-05-06 11:07:55,Standard prices,31,standard
17072210529,2022-05-06 21:07:55,Send offer,,
17627953782,2022-05-07 07:07:55,Guest request,,
17627953782,2022-05-07 17:07:55,Standard prices,85,standard
17627953782,2022-05-08 03:07:55,Send offer,,
18591089275,2022-05-08 13:07:55,Guest request,,
18591089275,2022-05-08 23:07:55,Standard prices,14,standard
18591089275,2022-05-09 09:07:55,Send offer,,
19105287023,2022-05-09 19:07:55,Guest request,,
19105287023,2022-05-10 05:07:55,Standard prices,85,standard
19105287023,2022-05-10 15:07:55,Send offer,,
19336233863,2022-05-11 01:07:55,Guest request,,
19336233863,2022-05-11 11:07:55,Standard prices,48,standard
19336233863,2022-05-11 21:07:55,Send offer,,
19854346116,2022-05-12 07:07:55,Guest request,,
19854346116,2022-05-12 17:07:55,Premium prices,93,premium
19854346116,2022-05-13 03:07:55,Send offer,,
20017732975,2022-05-13 13:07:55,Guest request,,
20017732975,2022-05-13 23:07:55,Premium prices,96,premium
20017732975,2022-05-14 09:07:55,Send offer,,
20284048679,2022-05-14 19:07:55,Guest request,,
20284048679,2022-05-15 05:07:55,Standard prices,15,standard
20284048679,2022-05-15 15:07:55,Send offer,,
20767618333,2022-05-16 01:07:55,Guest request,,
20767618333,2022-05-16 11:07:55,Standard prices,10,standard
20767618333,2022-05-16 21:07:55,Send offer,,
20938488320,2022-05-17 07:07:55,Guest request,,
20938488320,2022-05-17 17:07:55,Premium prices,92,premium
20938488320,2022-05-18 03:07:55,Send offer,,
21904842664,2022-05-18 13:07:55,Guest request,,
21904842664,2022-05-18 23:07:55,Standard prices,32,standard
21904842664,2022-05-19 09:07:55,Send offer,,
22727420671,2022-05-19 19:07:55,Guest request,,
22727420671,2022-05-20 05:07:55,Premium prices,94,premium
22727420671,2022-05-20 15:07:55,Send offer,,
23554318821,2022-05-21 01:07:55,Guest request,,
23554318821,2022-05-21 11:07:55,Standard prices,30,standard
23554318821,2022-05-21 21:07:55,Send offer,,
23764154774,2022-05-22 07:07:55,Guest request,,
23764154774,2022-05-22 17:07:55,Premium prices,93,premium
23764154774,2022-05-23 03:07:55,Send offer,,
24473508664,2022-05-23 13:07:55,Guest request,,
24473508664,2022-05-23 23:07:55,Standard prices,90,standard
24473508664,2022-05-24 09:07:55,Send offer,,
25417509019,2022-05-24 19:07:55,Guest request,,
25417509019,2022-05-25 05:07:55,Standard prices,89,standard
25417509019,2022-05-25 15:07:55,Send offer,,
25624320915,2022-05-26 01:07:55,Guest request,,
25624320915,2022-05-26 11:07:55,Premium prices,98,premium
25624320915,2022-05-26 21:07:55,Send offer,,
26046354925,2022-05-27 07:07:55,Guest request,,
26046354925,2022-05-27 17:07:55,Standard prices,82,standard
26046354925,2022-05-28 03:07:55,Send offer,,
27005952748,2022-05-28 13:07:55,Guest request,,
27005952748,2022-05-28 23:07:55,Standard prices,28,standard
27005952748,2022-05-29 09:07:55,Send offer,,
27280039195,2022-05-29 19:07:55,Guest request,,
27280039195,2022-05-30 05:07:55,Standard prices,50,standard
27280039195,2022-05-30 15:07:55,Send offer,,
27959090543,2022-05-31 01:07:55,Guest request,,
27959090543,2022-05-31 11:07:55,Standard prices,51,standard
27959090543,2022-05-31 21:07:55,Send offer,,
28877101019,2022-06-01 07:07:55,Guest request,,
28877101019,2022-06-01 17:07:55,Standard prices,84,standard
28877101019,2022-06-02 03:07:55,Send offer,,
29710013123,2022-06-02 13:07:55,Guest request,,
29710013123,2022-06-02 23:07:55,Premium prices,92,premium
29710013123,2022-06-03 09:07:55,Send offer,,
29856663363,2022-06-03 19:07:55,Guest request,,
29856663363,2022-06-04 05:07:55,Standard prices,18,standard
29856663363,2022-06-04 15:07:55,Send offer,,
30228970653,2022-06-05 01:07:55,Guest request,,
30228970653,2022-06-05 11:07:55,Standard prices,83,standard
30228970653,2022-06-05 21:07:55,Send offer,,
31175815989,2022-06-06 07:07:55,Guest request,,
31175815989,2022-06-06 17:07:55,Standard prices,41,standard
31175815989,2022-06-07 03:07:55,Send offer,,
31335762179,2022-06-07 13:07:55,Guest request,,
31335762179,2022-06-07 23:07:55,Standard prices,56,standard
31335762179,2022-06-08 09:07:55,Send offer,,
31749642741,2022-06-08 19:07:55,Guest request,,
31749642741,2022-06-09 05:07:55,Standard prices,60,standard
31749642741,2022-06-09 15:07:55,Send offer,,
32525098132,2022-06-10 01:07:55,Guest request,,
32525098132,2022-06-10 11:07:55,Standard prices,76,standard
32525098132,2022-06-10 21:07:55,Send offer,,
32533118438,2022-06-11 07:07:55,Guest request,,
32533118438,2022-06-11 17:07:55,Standard prices,40,standard
32533118438,2022-06-12 03:07:55,Send offer,,
33356169939,2022-06-12 13:07:55,Guest request,,
33356169939,2022-06-12 23:07:55,Standard prices,65,standard
33356169939,2022-06-13 09:07:55,Send offer,,
34184026277,2022-06-13 19:07:55,Guest request,,
34184026277,2022-06-14 05:07:55,Standard prices,89,standard
34184026277,2022-06-14 15:07:55,Send offer,,
34693044715,2022-06-15 01:07:55,Guest request,,
34693044715,2022-06-15 11:07:55,Standard prices,80,standard
34693044715,2022-06-15 21:07:55,Send offer,,
35080099939,2022-06-16 07:07:55,Guest request,,
35080099939,2022-06-16 17:07:55,Standard prices,73,standard
35080099939,2022-06-17 03:07:55,Send offer,,
35754057806,2022-06-17 13:07:55,Guest request,,
35754057806,2022-06-17 23:07:55,Standard prices,86,standard
35754057806,2022-06-18 09:07:55,Send offer,,
36660703145,2022-06-18 19:07:55,Guest request,,
36660703145,2022-06-19 05:07:55,Standard prices,49,standard
36660703145,2022-06-19 15:07:55,Send offer,,
36887712623,2022-06-20 01:07:55,Guest request,,
36887712623,2022-06-20 11:07:55,Standard prices,27,standard
36887712623,2022-06-20 21:07:55,Send offer,,
37689528838,2022-06-21 07:07:55,Guest request,,
37689528838,2022-06-21 17:07:55,Standard prices,24,standard
37689528838,2022-06-22 03:07:55,Send offer,,
38362241378,2022-06-22 13:07:55,Guest request,,
38362241378,2022-06-22 23:07:55,Premium prices,93,premium
38362241378,2022-06-23 09:07:55,Send offer,,
38974261297,2022-06-23 19:07:55,Guest request,,
38974261297,2022-06-24 05:07:55,Premium prices,95,premium
38974261297,2022-06-24 15:07:55,Send offer,,
39775047059,2022-06-25 01:07:55,Guest request,,
39775047059,2022-06-25 11:07:55,Standard prices,64,standard
39775047059,2022-06-25 21:07:55,Send offer,,
39997155355,2022-06-26 07:07:55,Guest request,,
39997155355,2022-06-26 17:07:55,Standard prices,47,standard
39997155355,2022-06-27 03:07:55,Send offer,,
40828736760,2022-06-27 13:07:55,Guest request,,
40828736760,2022-06-27 23:07:55,Standard prices,75,standard
40828736760,2022-06-28 09:07:55,Send offer,,
41659821334,2022-06-28 19:07:55,Guest request,,
41659821334,2022-06-29 05:07:55,Standard prices,30,standard
41659821334,2022-06-29 15:07:55,Send offer,,
42567415012,2022-06-30 01:07:55,Guest request,,
42567415012,2022-06-30 11:07:55,Standard prices,68,standard
42567415012,2022-06-30 21:07:55,Send offer,,
43295318658,2022-07-01 07:07:55,Guest request,,
43295318658,2022-07-01 17:07:55,Standard prices,14,standard
43295318658,2022-07-02 03:07:55,Send offer,,
44013785338,2022-07-02 13:07:55,Guest request,,
44013785338,2022-07-02 23:07:55,Standard prices,62,standard
44013785338,2022-07-03 09:07:55,Send offer,,
44560889634,2022-07-03 19:07:55,Guest request,,
44560889634,2022-07-04 05:07:55,Standard prices,36,standard
44560889634,2022-07-04 15:07:55,Send offer,,
44561810602,2022-07-05 01:07:55,Guest request,,
44561810602,2022-07-05 11:07:55,Standard prices,43,standard
44561810602,2022-07-05 21:07:55,Send offer,,
45242353751,2022-07-06 07:07:55,Guest request,,
45242353751,2022-07-06 17:07:55,Standard prices,77,standard
45242353751,2022-07-07 03:07:55,Send offer,,
45652375379,2022-07-07 13:07:55,Guest request,,
45652375379,2022-07-07 23:07:55,Standard prices,47,standard
45652375379,2022-07-08 09:07:55,Send offer,,
45907588412,2022-07-08 19:07:55,Guest request,,
45907588412,2022-07-09 05:07:55,Standard prices,37,standard
45907588412,2022-07-09 15:07:55,Send offer,,
46783090996,2022-07-10 01:07:55,Guest request,,
46783090996,2022-07-10 11:07:55,Standard prices,79,standard
46783090996,2022-07-10 21:07:55,Send offer,,
47092201847,2022-07-11 07:07:55,Guest request,,
47092201847,2022-07-11 17:07:55,Standard prices,73,standard
47092201847,2022-07-12 03:07:55,Send offer,,
47143680084,2022-07-12 13:07:55,Guest request,,
47143680084,2022-07-12 23:07:55,Standard prices,19,standard
47143680084,2022-07-13 09:07:55,Send offer,,
48070790536,2022-07-13 19:07:55,Guest request,,
48070790536,2022-07-14 05:07:55,Standard prices,83,standard
48070790536,2022-07-14 15:07:55,Send offer,,
48360605352,2022-07-15 01:07:55,Guest request,,
48360605352,2022-07-15 11:07:55,Standard prices,35,standard
48360605352,2022-07-15 21:07:55,Send offer,,
48446817091,2022-07-16 07:07:55,Guest request,,
48446817091,2022-07-16 17:07:55,Premium prices,94,premium
48446817091,2022-07-17 03:07:55,Send offer,,
49052077294,2022-07-17 13:07:55,Guest request,,
49052077294,2022-07-17 23:07:55,Standard prices,61,standard
49052077294,2022-07-18 09:07:55,Send offer,,
49390705123,2022-07-18 19:07:55,Guest request,,
49390705123,2022-07-19 05:07:55,Standard prices,77,standard
49390705123,2022-07-19 15:07:55,Send offer,,
49580993745,2022-07-20 01:07:55,Guest request,,
49580993745,2022-07-20 11:07:55,Standard prices,22,standard
49580993745,2022-07-20 21:07:55,Send offer,,
50186867080,2022-07-21 07:07:55,Guest request,,
50186867080,2022-07-21 17:07:55,Standard prices,84,standard
50186867080,2022-07-22 03:07:55,Send offer,,
51185678314,2022-07-22 13:07:55,Guest request,,
51185678314,2022-07-22 23:07:55,Standard prices,34,standard
51185678314,2022-07-23 09:07:55,Send offer,,
51766191479,2022-07-23 19:07:55,Guest request,,
51766191479,2022-07-24 05:07:55,Standard prices,48,standard
51766191479,2022-07-24 15:07:55,Send offer,,
51851457789,2022-07-25 01:07:55,Guest request,,
51851457789,2022-07-25 11:07:55,Standard prices,64,standard
51851457789,2022-07-25 21:07:55,Send offer,,
52309083868,2022-07-26 07:07:55,Guest request,,
52309083868,2022-07-26 17:07:55,Standard prices,81,standard
52309083868,2022-07-27 03:07:55,Send offer,,
52985481164,2022-07-27 13:07:55,Guest request,,
52985481164,2022-07-27 23:07:55,Standard prices,29,standard
52985481164,2022-07-28 09:07:55,Send offer,,
53973342645,2022-07-28 19:07:55,Guest request,,
53973342645,2022-07-29 05:07:55,Standard prices,17,standard
53973342645,2022-07-29 15:07:55,Send offer,,
54058566268,2022-07-30 01:07:55,Guest request,,
54058566268,2022-07-30 11:07:55,Standard prices,69,standard
54058566268,2022-07-30 21:07:55,Send offer,,
55004537987,2022-07-31 07:07:55,Guest request,,
55004537987,2022-07-31 17:07:55,Standard prices,66,standard
55004537987,2022-08-01 03:07:55,Send offer,,
55769243019,2022-08-01 13:07:55,Guest request,,
55769243019,2022-08-01 23:07:55,Standard prices,70,standard
55769243019,2022-08-02 09:07:55,Send offer,,
56121855851,2022-08-02 19:07:55,Guest request,,
56121855851,2022-08-03 05:07:55,Standard prices,35,standard
56121855851,2022-08-03 15:07:55,Send offer,,
56590803280,2022-08-04 01:07:55,Guest request,,
56590803280,2022-08-04 11:07:55,Standard prices,45,standard
56590803280,2022-08-04 21:07:55,Send offer,,
56942608614,2022-08-05 07:07:55,Guest request,,
56942608614,2022-08-05 17:07:55,Standard prices,44,standard
56942608614,2022-08-06 03:07:55,Send offer,,
57117943263,2022-08-06 13:07:55,Guest request,,
57117943263,2022-08-06 23:07:55,Standard prices,46,standard
57117943263,2022-08-07 09:07:55,Send offer,,
57255865314,2022-08-07 19:07:55,Guest request,,
57255865314,2022-08-08 05:07:55,Premium prices,92,premium
57255865314,2022-08-08 15:07:55,Send offer,,
57535217845,2022-08-09 01:07:55,Guest request,,
57535217845,2022-08-09 11:07:55,Standard prices,19,standard
57535217845,2022-08-09 21:07:55,Send offer,,
58107069035,2022-08-10 07:07:55,Guest request,,
58107069035,2022-08-10 17:07:55,Standard prices,55,standard
58107069035,2022-08-11 03:07:55,Send offer,,
58383401671,2022-08-11 13:07:55,Guest request,,
58383401671,2022-08-11 23:07:55,Standard prices,25,standard
58383401671,2022-08-12 09:07:55,Send offer,,
58914612278,2022-08-12 19:07:55,Guest request,,
58914612278,2022-08-13 05:07:55,Standard prices,71,standard
58914612278,2022-08-13 15:07:55,Send offer,,
59004766439,2022-08-14 01:07:55,Guest request,,
59004766439,2022-08-14 11:07:55,Standard prices,85,standard
59004766439,2022-08-14 21:07:55,Send offer,,
59623426579,2022-08-15 07:07:55,Guest request,,
59623426579,2022-08-15 17:07:55,Standard prices,11,standard
59623426579,2022-08-16 03:07:55,Send offer,,
59648804820,2022-08-16 13:07:55,Guest request,,
59648804820,2022-08-16 23:07:55,Standard prices,78,standard
59648804820,2022-08-17 09:07:55,Send offer,,
60047499970,2022-08-17 19:07:55,Guest request,,
60047499970,2022-08-18 05:07:55,Standard prices,62,standard
60047499970,2022-08-18 15:07:55,Send offer,,
60550679876,2022-08-19 01:07:55,Guest request,,
60550679876,2022-08-19 11:07:55,Standard prices,44,standard
60550679876,2022-08-19 21:07:55,Send offer,,
60970684372,2022-08-20 07:07:55,Guest request,,
60970684372,2022-08-20 17:07:55,Standard prices,43,standard
60970684372,2022-08-21 03:07:55,Send offer,,
61673909503,2022-08-21 13:07:55,Guest request,,
61673909503,2022-08-21 23:07:55,Standard prices,61,standard
61673909503,2022-08-22 09:07:55,Send offer,,
62357399423,2022-08-22 19:07:55,Guest request,,
62357399423,2022-08-23 05:07:55,Standard prices,74,standard
62357399423,2022-08-23 15:07:55,Send offer,,
62982627464,2022-08-24 01:07:55,Guest request,,
62982627464,2022-08-24 11:07:55,Standard prices,89,standard
62982627464,2022-08-24 21:07:55,Send offer,,
63918196215,2022-08-25 07:07:55,Guest request,,
63918196215,2022-08-25 17:07:55,Premium prices,91,premium
63918196215,2022-08-26 03:07:55,Send offer,,
64233522887,2022-08-26 13:07:55,Guest request,,
64233522887,2022-08-26 23:07:55,Premium prices,95,premium
64233522887,2022-08-27 09:07:55,Send offer,,
64554957894,2022-08-27 19:07:55,Guest request,,
64554957894,2022-08-28 05:07:55,Standard prices,19,standard
64554957894,2022-08-28 15:07:55,Send offer,,
65324110567,2022-08-29 01:07:55,Guest request,,
65324110567,2022-08-29 11:07:55,Standard prices,80,standard
65324110567,2022-08-29 21:07:55,Send offer,,
65769822101,2022-08-30 07:07:55,Guest request,,
65769822101,2022-08-30 17:07:55,Standard prices,29,standard
65769822101,2022-08-31 03:07:55,Send offer,,
66423657097,2022-08-31 13:07:55,Guest request,,
66423657097,2022-08-31 23:07:55,Standard prices,24,standard
66423657097,2022-09-01 09:07:55,Send offer,,
66542988861,2022-09-01 19:07:55,Guest request,,
66542988861,2022-09-02 05:07:55,Standard prices,27,standard
66542988861,2022-09-02 15:07:55,Send offer,,
67506179620,2022-09-03 01:07:55,Guest request,,
67506179620,2022-09-03 11:07:55,Standard prices,39,standard
67506179620,2022-09-03 21:07:55,Send offer,,
67828688261,2022-09-04 07:07:55,Guest request,,
67828688261,2022-09-04 17:07:55,Standard prices,50,standard
67828688261,2022-09-05 03:07:55,Send offer,,
68280812410,2022-09-05 13:07:55,Guest request,,
68280812410,2022-09-05 23:07:55,Standard prices,48,standard
68280812410,2022-09-06 09:07:55,Send offer,,
68416811430,2022-09-06 19:07:55,Guest request,,
68416811430,2022-09-07 05:07:55,Standard prices,40,standard
68416811430,2022-09-07 15:07:55,Send offer,,
68882463798,2022-09-08 01:07:55,Guest request,,
68882463798,2022-09-08 11:07:55,Standard prices,78,standard
68882463798,2022-09-08 21:07:55,Send offer,,
69341976381,2022-09-09 07:07:55,Guest request,,
69341976381,2022-09-09 17:07:55,Standard prices,46,standard
69341976381,2022-09-10 03:07:55,Send offer,,
69378697742,2022-09-10 13:07:55,Guest request,,
69378697742,2022-09-10 23:07:55,Standard prices,83,standard
69378697742,2022-09-11 09:07:55,Send offer,,
70242723834,2022-09-11 19:07:55,Guest request,,
70242723834,2022-09-12 05:07:55,Standard prices,34,standard
70242723834,2022-09-12 15:07:55,Send offer,,
71133406711,2022-09-13 01:07:55,Guest request,,
71133406711,2022-09-13 11:07:55,Standard prices,36,standard
71133406711,2022-09-13 21:07:55,Send offer,,
71406503758,2022-09-14 07:07:55,Guest request,,
71406503758,2022-09-14 17:07:55,Standard prices,74,standard
71406503758,2022-09-15 03:07:55,Send offer,,
72153079813,2022-09-15 13:07:55,Guest request,,
72153079813,2022-09-15 23:07:55,Standard prices,70,standard
72153079813,2022-09-16 09:07:55,Send offer,,
72447086664,2022-09-16 19:07:55,Guest request,,
72447086664,2022-09-17 05:07:55,Standard prices,24,standard
72447086664,2022-09-17 15:07:55,Send offer,,
73084675681,2022-09-18 01:07:55,Guest request,,
73084675681,2022-09-18 11:07:55,Standard prices,69,standard
73084675681,2022-09-18 21:07:55,Send offer,,
73805344515,2022-09-19 07:07:55,Guest request,,
73805344515,2022-09-19 17:07:55,Premium prices,100,premium
73805344515,2022-09-20 03:07:55,Send offer,,
74506651271,2022-09-20 13:07:55,Guest request,,
74506651271,2022-09-20 23:07:55,Standard prices,28,standard
74506651271,2022-09-21 09:07:55,Send offer,,
75389405296,2022-09-21 19:07:55,Guest request,,
75389405296,2022-09-22 05:07:55,Standard prices,83,standard
75389405296,2022-09-22 15:07:55,Send offer,,
75792268424,2022-09-23 01:07:55,Guest request,,
75792268424,2022-09-23 11:07:55,Standard prices,53,standard
75792268424,2022-09-23 21:07:55,Send offer,,
76084332085,2022-09-24 07:07:55,Guest request,,
76084332085,2022-09-24 17:07:55,Standard prices,53,standard
76084332085,2022-09-25 03:07:55,Send offer,,
76541348634,2022-09-25 13:07:55,Guest request,,
76541348634,2022-09-25 23:07:55,Standard prices,66,standard
76541348634,2022-09-26 09:07:55,Send offer,,
77064385167,2022-09-26 19:07:55,Guest request,,
77064385167,2022-09-27 05:07:55,Standard prices,30,standard
77064385167,2022-09-27 15:07:55,Send offer,,
77248415690,2022-09-28 01:07:55,Guest request,,
77248415690,2022-09-28 11:07:55,Standard prices,35,standard
77248415690,2022-09-28 21:07:55,Send offer,,
77283570000,2022-09-29 07:07:55,Guest request,,
77283570000,2022-09-29 17:07:55,Standard prices,88,standard
77283570000,2022-09-30 03:07:55,Send offer,,
77288722485,2022-09-30 13:07:55,Guest request,,
77288722485,2022-09-30 23:07:55,Standard prices,87,standard
77288722485,2022-10-01 09:07:55,Send offer,,
78003587593,2022-10-01 19:07:55,Guest request,,
78003587593,2022-10-02 05:07:55,Standard prices,89,standard
78003587593,2022-10-02 15:07:55,Send offer,,
78474808934,2022-10-03 01:07:55,Guest request,,
78474808934,2022-10-03 11:07:55,Premium prices,96,premium
78474808934,2022-10-03 21:07:55,Send offer,,
79011036122,2022-10-04 07:07:55,Guest request,,
79011036122,2022-10-04 17:07:55,Standard prices,20,standard
79011036122,2022-10-05 03:07:55,Send offer,,
79987782300,2022-10-05 13:07:55,Guest request,,
79987782300,2022-10-05 23:07:55,Standard prices,24,standard
79987782300,2022-10-06 09:07:55,Send offer,,
80969239181,2022-10-06 19:07:55,Guest request,,
80969239181,2022-10-07 05:07:55,Standard prices,72,standard
80969239181,2022-10-07 15:07:55,Send offer,,
80997082897,2022-10-08 01:07:55,Guest request,,
80997082897,2022-10-08 11:07:55,Standard prices,51,standard
80997082897,2022-10-08 21:07:55,Send offer,,
81541062317,2022-10-09 07:07:55,Guest request,,
81541062317,2022-10-09 17:07:55,Standard prices,26,standard
81541062317,2022-10-10 03:07:55,Send offer,,
81881742198,2022-10-10 13:07:55,Guest request,,
81881742198,2022-10-10 23:07:55,Standard prices,51,standard
81881742198,2022-10-11 09:07:55,Send offer,,
82007120352,2022-10-11 19:07:55,Guest request,,
82007120352,2022-10-12 05:07:55,Standard prices,38,standard
82007120352,2022-10-12 15:07:55,Send offer,,
82643390135,2022-10-13 01:07:55,Guest request,,
82643390135,2022-10-13 11:07:55,Standard prices,70,standard
82643390135,2022-10-13 21:07:55,Send offer,,
82856816990,2022-10-14 07:07:55,Guest request,,
82856816990,2022-10-14 17:07:55,Standard prices,89,standard
82856816990,2022-10-15 03:07:55,Send offer,,
83341392315,2022-10-15 13:07:55,Guest request,,
83341392315,2022-10-15 23:07:55,Standard prices,57,standard
83341392315,2022-10-16 09:07:55,Send offer,,
84300252947,2022-10-16 19:07:55,Guest request,,
84300252947,2022-10-17 05:07:55,Standard prices,24,standard
84300252947,2022-10-17 15:07:55,Send offer,,
84481703683,2022-10-18 01:07:55,Guest request,,
84481703683,2022-10-18 11:07:55,Standard prices,90,standard
84481703683,2022-10-18 21:07:55,Send offer,,
84561372823,2022-10-19 07:07:55,Guest request,,
84561372823,2022-10-19 17:07:55,Standard prices,87,standard
84561372823,2022-10-20 03:07:55,Send offer,,
85343822732,2022-10-20 13:07:55,Guest request,,
85343822732,2022-10-20 23:07:55,Standard prices,83,standard
85343822732,2022-10-21 09:07:55,Send offer,,
86107222459,2022-10-21 19:07:55,Guest request,,
86107222459,2022-10-22 05:07:55,Standard prices,74,standard
86107222459,2022-10-22 15:07:55,Send offer,,
86720900599,2022-10-23 01:07:55,Guest request,,
86720900599,2022-10-23 11:07:55,Standard prices,36,standard
86720900599,2022-10-23 21:07:55,Send offer,,
87183155815,2022-10-24 07:07:55,Guest request,,
87183155815,2022-10-24 17:07:55,Standard prices,12,standard
87183155815,2022-10-25 03:07:55,Send offer,,
87730925495,2022-10-25 13:07:55,Guest request,,
87730925495,2022-10-25 23:07:55,Standard prices,73,standard
87730925495,2022-10-26 09:07:55,Send offer,,
88292712634,2022-10-26 19:07:55,Guest request,,
88292712634,2022-10-27 05:07:55,Premium prices,97,premium
88292712634,2022-10-27 15:07:55,Send offer,,
88726615621,2022-10-28 01:07:55,Guest request,,
