uuid,timestamp,event,age,amount_loan,yearly_income,random_number,check
1019,2022-03-04 22:52:06,Extensive Check,,,,,Extensive Check
1019,2022-03-05 00:52:06,Make Decision,,,,,
1019,2022-03-05 02:52:06,Inform Customer,,,,,
1020,2022-02-28 15:09:27,Customer applies,,,,,
1020,2022-02-28 17:09:27,Check application data,53,11855,29692,126209,
1020,2022-02-28 19:09:27,Simple Check,,,,,Simple Check
1020,2022-02-28 21:09:27,Make Decision,,,,,
1020,2022-02-28 23:09:27,Inform Customer,,,,,
1021,2022-02-15 08:48:08,Customer applies,,,,,
1021,2022-02-15 10:48:08,Check application data,43,62143,593557,643060,
1021,2022-02-15 12:48:08,Normal Check,,,,,Normal Check
1021,2022-02-15 14:48:08,Make Decision,,,,,
1021,2022-02-15 16:48:08,Inform Customer,,,,,
1022,2022-02-23 10:20:34,Customer applies,,,,,
1022,2022-02-23 12:20:34,Check application data,41,90414,228226,731425,
1022,2022-02-23 14:20:34,Extensive Check,,,,,Extensive Check
1022,2022-02-23 16:20:34,Make Decision,,,,,
1022,2022-02-23 18:20:34,Inform Customer,,,,,
1023,2022-02-21 08:27:39,Customer applies,,,,,
1023,2022-02-21 10:27:39,Check application data,29,86180,113366,791549,
1023,2022-02-21 12:27:39,Extensive Check,,,,,Extensive Check
1023,2022-02-21 14:27:39,Make Decision,,,,,
1023,2022-02-21 16:27:39,Inform Customer,,,,,
1024,2022-03-02 08:02:50,Customer applies,,,,,
1024,2022-03-02 10:02:50,Check application data,46,27584,353943,250856,
1024,2022-03-02 12:02:50,Normal Check,,,,,Normal Check
1024,2022-03-02 14:02:50,Make Decision,,,,,
1024,2022-03-02 16:02:50,Inform Customer,,,,,
1025,2022-02-15 11:15:39,Customer applies,,,,,
1025,2022-02-15 13:15:39,Check application data,39,78721,411136,188312,
1025,2022-02-15 15:15:39,Normal Check,,,,,Normal Check
1025,2022-02-15 17:15:39,Make Decision,,,,,
1025,2022-02-15 19:15:39,Inform Customer,,,,,
1026,2022-02-22 14:34:09,Customer applies,,,,,
1026,2022-02-22 16:34:09,Check application data,28,84230,179555,645463,
1026,2022-02-22 18:34:09,Extensive Check,,,,,Extensive Check
1026,2022-02-22 20:34:09,Make Decision,,,,,
1026,2022-02-22 22:34:09,Inform Customer,,,,,
1027,2022-02-18 09:52:40,Customer applies,,,,,
1027,2022-02-18 11:52:40,Check application data,33,6218,839563,1864783,
1027,2022-02-18 13:52:40,Simple Check,,,,,Simple Check
1027,2022-02-18 15:52:40,Make Decision,,,,,
1027,2022-02-18 17:52:40,Inform Customer,,,,,
1028,2022-02-15 11:58:12,Customer applies,,,,,
1028,2022-02-15 13:58:12,Check application data,35,59063,121496,237628,
1028,2022-02-15 15:58:12,Normal Check,,,,,Normal Check
1028,2022-02-15 17:58:12,Make Decision,,,,,
1028,2022-02-15 19:58:12,Inform Customer,,,,,
1029,2022-03-04 09:47:51,Customer applies,,,,,
1029,2022-03-04 11:47:51,Check application data,60,87179,906842,1614962,
1029,2022-03-04 13:47:51,Extensive Check,,,,,Extensive Check
1029,2022-03-04 15:47:51,Make Decision,,,,,
1029,2022-03-04 17:47:51,Inform Customer,,,,,
1030,2022-02-17 11:51:52,Customer applies,,,,,
1030,2022-02-17 13:51:52,Check application data,48,26479,498859,917804,
1030,2022-02-17 15:51:52,Normal Check,,,,,Normal Check
1030,2022-02-17 17:51:52,Make Decision,,,,,
1030,2022-02-17 19:51:52,Inform Customer,,,,,
1031,2022-02-22 15:39:08,Customer applies,,,,,
1031,2022-02-22 17:39:08,Check application data,28,5560,31784,1831905,
1031,2022-02-22 19:39:08,Simple Check,,,,,Simple Check
1031,2022-02-22 21:39:08,Make Decision,,,,,
1031,2022-02-22 23:39:08,Inform Customer,,,,,
1032,2022-02-25 08:29:09,Customer applies,,,,,
1032,2022-02-25 10:29:09,Check application data,46,79361,918268,1050224,
1032,2022-02-25 12:29:09,Normal Check,,,,,Normal Check
1032,2022-02-25 14:29:09,Make Decision,,,,,
1032,2022-02-25 16:29:09,Inform Customer,,,,,
1033,2022-02-26 14:12:55,Customer applies,,,,,
1033,2022-02-26 16:12:55,Check application data,46,19675,844022,1685169,
1033,2022-02-26 18:12:55,Simple Check,,,,,Simple Check
1033,2022-02-26 20:12:55,Make Decision,,,,,
1033,2022-02-26 22:12:55,Inform Customer,,,,,
1034,2022-03-02 15:24:25,Customer applies,,,,,
1034,2022-03-02 17:24:25,Check application data,52,89657,276925,981951,
1034,2022-03-02 19:24:25,Extensive Check,,,,,Extensive Check
1034,2022-03-02 21:24:25,Make Decision,,,,,
1034,2022-03-02 23:24:25,Inform Customer,,,,,
1035,2022-03-02 17:49:52,Customer applies,,,,,
1035,2022-03-02 19:49:52,Check application data,40,30225,505731,1447216,
1035,2022-03-02 21:49:52,Normal Check,,,,,Normal Check
1035,2022-03-02 23:49:52,Make Decision,,,,,
1035,2022-03-03 01:49:52,Inform Customer,,,,,
1036,2022-02-14 12:10:19,Customer applies,,,,,
1036,2022-02-14 14:10:19,Check application data,39,62440,613877,1688273,
1036,2022-02-14 16:10:19,Normal Check,,,,,Normal Check
1036,2022-02-14 18:10:19,Make Decision,,,,,
1036,2022-02-14 20:10:19,Inform Customer,,,,,
1037,2022-02-24 15:20:32,Customer applies,,,,,
1037,2022-02-24 17:20:32,Check application data,49,70571,124031,139711,
1037,2022-02-24 19:20:32,Normal Check,,,,,Normal Check
1037,2022-02-24 21:20:32,Make Decision,,,,,
1037,2022-02-24 23:20:32,Inform Customer,,,,,
1038,2022-02-15 18:18:59,Customer applies,,,,,
1038,2022-02-15 20:18:59,Check application data,36,33752,461297,1731905,
1038,2022-02-15 22:18:59,Normal Check,,,,,Normal Check
1038,2022-02-16 00:18:59,Make Decision,,,,,
1038,2022-02-16 02:18:59,Inform Customer,,,,,
1039,2022-02-18 11:45:30,Customer applies,,,,,
1039,2022-02-18 13:45:30,Check application data,55,90558,222950,1680637,
1039,2022-02-18 15:45:30,Extensive Check,,,,,Extensive Check
1039,2022-02-18 17:45:30,Make Decision,,,,,
1039,2022-02-18 19:45:30,Inform Customer,,,,,
1040,2022-02-15 09:01:37,Customer applies,,,,,
1040,2022-02-15 11:01:37,Check application data,49,37285,785281,498067,
1040,2022-02-15 13:01:37,Normal Check,,,,,Normal Check
1040,2022-02-15 15:01:37,Make Decision,,,,,
1040,2022-02-15 17:01:37,Inform Customer,,,,,
1041,2022-02-22 17:04:15,Customer applies,,,,,
1041,2022-02-22 19:04:15,Check application data,29,56320,575707,1885679,
1041,2022-02-22 21:04:15,Normal Check,,,,,Normal Check
1041,2022-02-22 23:04:15,Make Decision,,,,,
1041,2022-02-23 01:04:15,Inform Customer,,,,,
1042,2022-02-27 11:48:40,Customer applies,,,,,
1042,2022-02-27 13:48:40,Check application data,41,91667,414156,28346,
1042,2022-02-27 15:48:40,Extensive Check,,,,,Extensive Check
1042,2022-02-27 17:48:40,Make Decision,,,,,
1042,2022-02-27 19:48:40,Inform Customer,,,,,
1043,2022-02-16 09:03:03,Customer applies,,,,,
1043,2022-02-16 11:03:03,Check application data,52,5032,13773,469065,
1043,2022-02-16 13:03:03,Simple Check,,,,,Simple Check
1043,2022-02-16 15:03:03,Make Decision,,,,,
1043,2022-02-16 17:03:03,Inform Customer,,,,,
1044,2022-02-15 08:22:16,Customer applies,,,,,
1044,2022-02-15 10:22:16,Check application data,56,81368,898827,1095597,
1044,2022-02-15 12:22:16,Extensive Check,,,,,Extensive Check
1044,2022-02-15 14:22:16,Make Decision,,,,,
1044,2022-02-15 16:22:16,Inform Customer,,,,,
1045,2022-03-05 09:34:07,Customer applies,,,,,
1045,2022-03-05 11:34:07,Check application data,25,6029,892845,1396167,
1045,2022-03-05 13:34:07,Simple Check,,,,,Simple Check
1045,2022-03-05 15:34:07,Make Decision,,,,,
1045,2022-03-05 17:34:07,Inform Customer,,,,,
1046,2022-02-24 14:22:47,Customer applies,,,,,
1046,2022-02-24 16:22:47,Check application data,42,34166,476707,677233,
1046,2022-02-24 18:22:47,Normal Check,,,,,Normal Check
1046,2022-02-24 20:22:47,Make Decision,,,,,
1046,2022-02-24 22:22:47,Inform Customer,,,,,
1047,2022-02-18 17:22:48,Customer applies,,,,,
1047,2022-02-18 19:22:48,Check application data,32,40172,244245,1699368,
1047,2022-02-18 21:22:48,Normal Check,,,,,Normal Check
1047,2022-02-18 23:22:48,Make Decision,,,,,
1047,2022-02-19 01:22:48,Inform Customer,,,,,
1048,2022-02-26 13:17:34,Customer applies,,,,,
1048,2022-02-26 15:17:34,Check application data,26,7168,973324,1825627,
1048,2022-02-26 17:17:34,Simple Check,,,,,Simple Check
1048,2022-02-26 19:17:34,Make Decision,,,,,
1048,2022-02-26 21:17:34,Inform Customer,,,,,
1049,2022-03-04 10:49:21,Customer applies,,,,,
1049,2022-03-04 12:49:21,Check application data,44,75226,815564,393662,
1049,2022-03-04 14:49:21,Normal Check,,,,,Normal Check
1049,2022-03-04 16:49:21,Make Decision,,,,,
1049,2022-03-04 18:49:21,Inform Customer,,,,,
1050,2022-02-27 09:58:48,Customer applies,,,,,
1050,2022-02-27 11:58:48,Check application data,43,50963,442035,15567,
1050,2022-02-27 13:58:48,Normal Check,,,,,Normal Check
1050,2022-02-27 15:58:48,Make Decision,,,,,
1050,2022-02-27 17:58:48,Inform Customer,,,,,
1051,2022-02-24 15:52:35,Customer applies,,,,,
1051,2022-02-24 17:52:35,Check application data,34,72022,899588,838903,
1051,2022-02-24 19:52:35,Normal Check,,,,,Normal Check
1051,2022-02-24 21:52:35,Make Decision,,,,,
1051,2022-02-24 23:52:35,Inform Customer,,,,,
1052,2022-03-03 17:22:09,Customer applies,,,,,
1052,2022-03-03 19:22:09,Check application data,44,79730,183988,563816,
1052,2022-03-03 21:22:09,Normal Check,,,,,Normal Check
1052,2022-03-03 23:22:09,Make Decision,,,,,
1052,2022-03-04 01:22:09,Inform Customer,,,,,
1053,2022-02-23 09:24:36,Customer applies,,,,,
1053,2022-02-23 11:24:36,Check application data,34,48862,295213,928831,
1053,2022-02-23 13:24:36,Normal Check,,,,,Normal Check
1053,2022-02-23 15:24:36,Make Decision,,,,,
1053,2022-02-23 17:24:36,Inform Customer,,,,,
1054,2022-03-01 10:40:30,Customer applies,,,,,
1054,2022-03-01 12:40:30,Check application data,27,22924,531750,252574,
1054,2022-03-01 14:40:30,Normal Check,,,,,Normal Check
1054,2022-03-01 16:40:30,Make Decision,,,,,
1054,2022-03-01 18:40:30,Inform Customer,,,,,
1055,2022-02-19 10:21:48,Customer applies,,,,,
1055,2022-02-19 12:21:48,Check application data,34,50660,232208,48385,
1055,2022-02-19 14:21:48,Normal Check,,,,,Normal Check
1055,2022-02-19 16:21:48,Make Decision,,,,,
1055,2022-02-19 18:21:48,Inform Customer,,,,,
1056,2022-02-26 12:53:30,Customer applies,,,,,
1056,2022-02-26 14:53:30,Check application data,30,67909,546135,595889,
1056,2022-02-26 16:53:30,Normal Check,,,,,Normal Check
1056,2022-02-26 18:53:30,Make Decision,,,,,
1056,2022-02-26 20:53:30,Inform Customer,,,,,
1057,2022-03-04 12:50:15,Customer applies,,,,,
1057,2022-03-04 14:50:15,Check application data,33,47953,594496,1426011,
1057,2022-03-04 16:50:15,Normal Check,,,,,Normal Check
1057,2022-03-04 18:50:15,Make Decision,,,,,
1057,2022-03-04 20:50:15,Inform Customer,,,,,
1058,2022-02-24 17:52:37,Customer applies,,,,,
1058,2022-02-24 19:52:37,Check application data,54,4083,982594,1878029,
1058,2022-02-24 21:52:37,Simple Check,,,,,Simple Check
1058,2022-02-24 23:52:37,Make Decision,,,,,
1058,2022-02-25 01:52:37,Inform Customer,,,,,
1059,2022-02-16 14:01:25,Customer applies,,,,,
1059,2022-02-16 16:01:25,Check application data,40,95072,266644,1285698,
1059,2022-02-16 18:01:25,Extensive Check,,,,,Extensive Check
1059,2022-02-16 20:01:25,Make Decision,,,,,
1059,2022-02-16 22:01:25,Inform Customer,,,,,
1060,2022-02-16 18:55:13,Customer applies,,,,,
1060,2022-02-16 20:55:13,Check application data,51,64571,506640,1734522,
1060,2022-02-16 22:55:13,Normal Check,,,,,Normal Check
1060,2022-02-17 00:55:13,Make Decision,,,,,
1060,2022-02-17 02:55:13,Inform Customer,,,,,
1061,2022-02-20 08:40:47,Customer applies,,,,,
1061,2022-02-20 10:40:47,Check application data,29,93465,450253,550376,
1061,2022-02-20 12:40:47,Extensive Check,,,,,Extensive Check
1061,2022-02-20 14:40:47,Make Decision,,,,,
1061,2022-02-20 16:40:47,Inform Customer,,,,,
1062,2022-02-14 14:42:04,Customer applies,,,,,
1062,2022-02-14 16:42:04,Check application data,25,35511,726205,307569,
1062,2022-02-14 18:42:04,Normal Check,,,,,Normal Check
1062,2022-02-14 20:42:04,Make Decision,,,,,
1062,2022-02-14 22:42:04,Inform Customer,,,,,
1063,2022-02-27 12:52:52,Customer applies,,,,,
1063,2022-02-27 14:52:52,Check application data,33,32440,259701,1744622,
1063,2022-02-27 16:52:52,Normal Check,,,,,Normal Check
1063,2022-02-27 18:52:52,Make Decision,,,,,
1063,2022-02-27 20:52:52,Inform Customer,,,,,
1064,2022-03-03 18:12:21,Customer applies,,,,,
1064,2022-03-03 20:12:21,Check application data,54,38592,535305,1398544,
1064,2022-03-03 22:12:21,Normal Check,,,,,Normal Check
1064,2022-03-04 00:12:21,Make Decision,,,,,
1064,2022-03-04 02:12:21,Inform Customer,,,,,
1065,2022-03-03 12:19:25,Customer applies,,,,,
1065,2022-03-03 14:19:25,Check application data,60,2365,975791,655783,
1065,2022-03-03 16:19:25,Simple Check,,,,,Simple Check
1065,2022-03-03 18:19:25,Make Decision,,,,,
1065,2022-03-03 20:19:25,Inform Customer,,,,,
1066,2022-02-26 12:01:02,Customer applies,,,,,
1066,2022-02-26 14:01:02,Check application data,60,72616,779095,1815363,
1066,2022-02-26 16:01:02,Normal Check,,,,,Normal Check
1066,2022-02-26 18:01:02,Make Decision,,,,,
1066,2022-02-26 20:01:02,Inform Customer,,,,,
1067,2022-02-24 13:04:09,Customer applies,,,,,
1067,2022-02-24 15:04:09,Check application data,32,97561,666964,1557734,
1067,2022-02-24 17:04:09,Extensive Check,,,,,Extensive Check
1067,2022-02-24 19:04:09,Make Decision,,,,,
1067,2022-02-24 21:04:09,Inform Customer,,,,,
1068,2022-02-14 15:17:24,Customer applies,,,,,
1068,2022-02-14 17:17:24,Check application data,43,60838,220979,563628,
1068,2022-02-14 19:17:24,Normal Check,,,,,Normal Check
1068,2022-02-14 21:17:24,Make Decision,,,,,
1068,2022-02-14 23:17:24,Inform Customer,,,,,
1069,2022-02-18 15:10:12,Customer applies,,,,,
1069,2022-02-18 17:10:12,Check application data,58,89188,491250,14915,
1069,2022-02-18 19:10:12,Extensive Check,,,,,Extensive Check
1069,2022-02-18 21:10:12,Make Decision,,,,,
1069,2022-02-18 23:10:12,Inform Customer,,,,,
1070,2022-02-28 17:28:28,Customer applies,,,,,
1070,2022-02-28 19:28:28,Check application data,32,16205,505894,657082,
1070,2022-02-28 21:28:28,Simple Check,,,,,Simple Check
1070,2022-02-28 23:28:28,Make Decision,,,,,
1070,2022-03-01 01:28:28,Inform Customer,,,,,
1071,2022-02-24 08:26:30,Customer applies,,,,,
1071,2022-02-24 10:26:30,Check application data,34,25229,952266,1873608,
1071,2022-02-24 12:26:30,Normal Check,,,,,Normal Check
1071,2022-02-24 14:26:30,Make Decision,,,,,
1071,2022-02-24 16:26:30,Inform Customer,,,,,
1072,2022-02-23 14:57:06,Customer applies,,,,,
1072,2022-02-23 16:57:06,Check application data,59,23311,426949,1383301,
1072,2022-02-23 18:57:06,Normal Check,,,,,Normal Check
1072,2022-02-23 20:57:06,Make Decision,,,,,
1072,2022-02-23 22:57:06,Inform Customer,,,,,
1073,2022-03-01 13:53:36,Customer applies,,,,,
1073,2022-03-01 15:53:36,Check application data,26,49473,531735,1902117,
1073,2022-03-01 17:53:36,Normal Check,,,,,Normal Check
1073,2022-03-01 19:53:36,Make Decision,,,,,
1073,2022-03-01 21:53:36,Inform Customer,,,,,
1074,2022-02-27 12:56:26,Customer applies,,,,,
1074,2022-02-27 14:56:26,Check application data,41,68822,107709,1018340,
1074,2022-02-27 16:56:26,Normal Check,,,,,Normal Check
1074,2022-02-27 18:56:26,Make Decision,,,,,
1074,2022-02-27 20:56:26,Inform Customer,,,,,
1075,2022-02-22 10:34:16,Customer applies,,,,,
1075,2022-02-22 12:34:16,Check application data,54,84276,541740,855143,
1075,2022-02-22 14:34:16,Extensive Check,,,,,Extensive Check
1075,2022-02-22 16:34:16,Make Decision,,,,,
1075,2022-02-22 18:34:16,Inform Customer,,,,,
1076,2022-02-28 15:04:23,Customer applies,,,,,
1076,2022-02-28 17:04:23,Check application data,59,92675,199621,488697,
1076,2022-02-28 19:04:23,Extensive Check,,,,,Extensive Check
1076,2022-02-28 21:04:23,Make Decision,,,,,
1076,2022-02-28 23:04:23,Inform Customer,,,,,
1077,2022-02-24 09:35:54,Customer applies,,,,,
1077,2022-02-24 11:35:54,Check application data,46,4491,38327,1637096,
1077,2022-02-24 13:35:54,Simple Check,,,,,Simple Check
1077,2022-02-24 15:35:54,Make Decision,,,,,
1077,2022-02-24 17:35:54,Inform Customer,,,,,
1078,2022-02-14 16:53:14,Customer applies,,,,,
1078,2022-02-14 18:53:14,Check application data,59,13606,815701,1244038,
1078,2022-02-14 20:53:14,Simple Check,,,,,Simple Check
1078,2022-02-14 22:53:14,Make Decision,,,,,
1078,2022-02-15 00:53:14,Inform Customer,,,,,
1079,2022-02-26 08:45:35,Customer applies,,,,,
1079,2022-02-26 10:45:35,Check application data,36,45318,234728,557631,
1079,2022-02-26 12:45:35,Normal Check,,,,,Normal Check
1079,2022-02-26 14:45:35,Make Decision,,,,,
1079,2022-02-26 16:45:35,Inform Customer,,,,,
1080,2022-02-22 13:23:35,Customer applies,,,,,
1080,2022-02-22 15:23:35,Check application data,52,89114,925720,462503,
1080,2022-02-22 17:23:35,Extensive Check,,,,,Extensive Check
1080,2022-02-22 19:23:35,Make Decision,,,,,
1080,2022-02-22 21:23:35,Inform Customer,,,,,
1081,2022-02-19 14:48:16,Customer applies,,,,,
1081,2022-02-19 16:48:16,Check application data,48,88352,698716,161093,
1081,2022-02-19 18:48:16,Extensive Check,,,,,Extensive Check
1081,2022-02-19 20:48:16,Make Decision,,,,,
1081,2022-02-19 22:48:16,Inform Customer,,,,,
1082,2022-02-28 12:32:31,Customer applies,,,,,
1082,2022-02-28 14:32:31,Check application data,39,26491,546045,1870349,
1082,2022-02-28 16:32:31,Normal Check,,,,,Normal Check
1082,2022-02-28 18:32:31,Make Decision,,,,,
1082,2022-02-28 20:32:31,Inform Customer,,,,,
1083,2022-02-27 12:34:56,Customer applies,,,,,
1083,2022-02-27 14:34:56,Check application data,29,55568,326339,998423,
1083,2022-02-27 16:34:56,Normal Check,,,,,Normal Check
1083,2022-02-27 18:34:56,Make Decision,,,,,
1083,2022-02-27 20:34:56,Inform Customer,,,,,
1084,2022-03-05 11:47:43,Customer applies,,,,,
1084,2022-03-05 13:47:43,Check application data,45,64264,64103,596989,
1084,2022-03-05 15:47:43,Normal Check,,,,,Normal Check
1084,2022-03-05 17:47:43,Make Decision,,,,,
1084,2022-03-05 19:47:43,Inform Customer,,,,,
1085,2022-02-17 18:16:28,Customer applies,,,,,
1085,2022-02-17 20:16:28,Check application data,29,37674,108573,1357567,
1085,2022-02-17 22:16:28,Normal Check,,,,,Normal Check
1085,2022-02-18 00:16:28,Make Decision,,,,,
1085,2022-02-18 02:16:28,Inform Customer,,,,,
1086,2022-02-18 14:15:08,Customer applies,,,,,
1086,2022-02-18 16:15:08,Check application data,27,98413,406547,512707,
1086,2022-02-18 18:15:08,Extensive Check,,,,,Extensive Check
1086,2022-02-18 20:15:08,Make Decision,,,,,
1086,2022-02-18 22:15:08,Inform Customer,,,,,
1087,2022-02-25 08:05:45,Customer applies,,,,,
1087,2022-02-25 10:05:45,Check application data,37,52451,529580,1871840,
1087,2022-02-25 12:05:45,Normal Check,,,,,Normal Check
1087,2022-02-25 14:05:45,Make Decision,,,,,
1087,2022-02-25 16:05:45,Inform Customer,,,,,
1088,2022-02-21 15:45:23,Customer applies,,,,,
1088,2022-02-21 17:45:23,Check application data,37,61060,517344,579312,
1088,2022-02-21 19:45:23,Normal Check,,,,,Normal Check
1088,2022-02-21 21:45:23,Make Decision,,,,,
1088,2022-02-21 23:45:23,Inform Customer,,,,,
1089,2022-02-16 10:22:14,Customer applies,,,,,
1089,2022-02-16 12:22:14,Check application data,26,22718,653960,1596695,
1089,2022-02-16 14:22:14,Normal Check,,,,,Normal Check
1089,2022-02-16 16:22:14,Make Decision,,,,,
1089,2022-02-16 18:22:14,Inform Customer,,,,,
1090,2022-02-14 17:41:30,Customer applies,,,,,
1090,2022-02-14 19:41:30,Check application data,55,51270,270185,1540437,
1090,2022-02-14 21:41:30,Normal Check,,,,,Normal Check
1090,2022-02-14 23:41:30,Make Decision,,,,,
1090,2022-02-15 01:41:30,Inform Customer,,,,,
1091,2022-03-02 10:28:49,Customer applies,,,,,
1091,2022-03-02 12:28:49,Check application data,44,67936,303531,180089,
1091,2022-03-02 14:28:49,Normal Check,,,,,Normal Check
1091,2022-03-02 16:28:49,Make Decision,,,,,
1091,2022-03-02 18:28:49,Inform Customer,,,,,
1092,2022-02-19 15:24:24,Customer applies,,,,,
1092,2022-02-19 17:24:24,Check application data,27,30384,42638,1201275,
1092,2022-02-19 19:24:24,Normal Check,,,,,Normal Check
1092,2022-02-19 21:24:24,Make Decision,,,,,
1092,2022-02-19 23:24:24,Inform Customer,,,,,
1093,2022-02-17 10:32:35,Customer applies,,,,,
1093,2022-02-17 12:32:35,Check application data,45,87928,961899,1489152,
1093,2022-02-17 14:32:35,Extensive Check,,,,,Extensive Check
1093,2022-02-17 16:32:35,Make Decision,,,,,
1093,2022-02-17 18:32:35,Inform Customer,,,,,
1094,2022-02-22 11:08:47,Customer applies,,,,,
1094,2022-02-22 13:08:47,Check application data,57,24018,354065,920087,
1094,2022-02-22 15:08:47,Normal Check,,,,,Normal Check
1094,2022-02-22 17:08:47,Make Decision,,,,,
1094,2022-02-22 19:08:47,Inform Customer,,,,,
